,poplulation_average
0,34864.39061153846
1,34745.32881538462
2,34473.40121153846
3,34441.27239615384
4,34635.792488461535
5,35840.49127692307
6,38264.24016538462
7,44624.642199999995
8,51805.11689615385
9,58204.46550384614
10,61982.106465384604
11,63197.236323076926
12,64469.538403846156
13,67384.95360384617
14,68510.04083076923
15,67075.30891538462
16,63444.19450769229
17,58468.75518461538
18,55437.85498846154
19,52617.90216538461
20,49410.58898461539
21,45897.1337576923
22,41823.04102692309
23,36891.12760384615
24,36176.11334615385
25,35777.326673076925
26,35586.97817307692
27,35566.50298846155
28,35705.51298846154
29,36912.157276923084
30,39457.74616538462
31,46066.00526538461
32,53457.274457692314
33,59961.387673076926
34,63676.51313461539
35,64710.38951923077
36,66171.45462692306
37,69206.25099615386
38,70197.47445
39,68251.12576153848
40,64509.92009230769
41,59277.56541538463
42,56206.67063461539
43,53322.98218461538
44,49981.54261153846
45,46334.089446153834
46,42158.97466923077
47,37105.140973076916
48,36360.990266666675
49,35985.113451851845
50,35727.40220740741
51,35689.412366666664
52,35818.0799
53,36987.96567407407
54,39293.80934074074
55,45375.48708888889
56,52469.16747777779
57,58698.816440740724
58,62376.94335555555
59,63524.312492592595
60,64878.36312962963
61,67779.20287037037
62,68532.60657777777
63,67286.75414814816
64,63627.55667037036
65,58717.452029629625
66,55855.533118518506
67,53380.137118518505
68,50047.688085185175
69,46389.842896296315
70,42135.13462962962
71,36579.31688518519
72,36353.46921481481
73,35948.1162962963
74,35756.12426296296
75,35675.02045925925
76,35789.70515185186
77,36923.13544074074
78,39183.32787407408
79,44973.20404074074
80,51854.53635185185
81,57881.645544444444
82,61516.08331481481
83,62472.18389629628
84,63910.59912962962
85,67067.39555185185
86,68046.15824444445
87,66162.16100000001
88,62702.98763703703
89,57760.28822222222
90,54764.61551851853
91,52421.44368148148
92,49334.72507777778
93,46049.70251851851
94,42004.50548148149
95,37042.30879259259
96,36585.50342692308
97,36038.709861538475
98,35739.51079230769
99,35624.4088076923
100,35721.75751153847
101,36803.73247307692
102,38926.780746153854
103,44416.34303461539
104,50663.775780769225
105,56196.05519230769
106,59487.949426923056
107,60563.107592307664
108,61767.10389615386
109,64192.35463076923
110,64953.75881538459
111,63858.56287692309
112,60988.01181923075
113,56925.8223346154
114,54833.08297692308
115,53250.068523076916
116,50543.741134615375
117,47396.43846923075
118,43247.66322307693
119,38259.287703846145
120,37379.25248461539
121,36300.52564230769
122,35815.36043076922
123,35546.07143076923
124,35508.49601923077
125,36195.00828846153
126,36877.3169423077
127,38192.01864615385
128,40718.53800000001
129,44029.19297692307
130,46441.97677692309
131,47891.01905
132,49412.91078076923
133,51260.61088846154
134,52249.23607692308
135,52685.98370384614
136,52321.58260384616
137,51720.94249615386
138,51300.99835000001
139,50053.14649615385
140,47539.922465384625
141,44719.467153846155
142,41138.38298461539
143,36473.15368461538
144,36139.991219230775
145,35375.75571153847
146,34931.881953846154
147,34731.71836538461
148,34486.36010769231
149,34847.004030769225
150,35170.7646923077
151,35546.37912307691
152,36593.136096153845
153,38216.537623076925
154,40427.279380769236
155,42406.23266538462
156,44152.08522307693
157,46068.64677692308
158,47460.65219615384
159,48059.698353846165
160,48038.775838461544
161,47869.97806153846
162,47399.29445384616
163,46054.55793076923
164,43754.477884615386
165,41346.48498076924
166,38863.82226538462
167,35439.893438461535
168,34864.39061153846
